站点编号,站点名称,平面坐标系x,平面坐标系y,起始时间,结束时间,降雨量
F1070,汽车北站,431414.338,2889568.369,2017/11/1 7:30:00,2017/11/1 7:40:00,0
F1070,汽车北站,431415.338,2889569.369,2017/11/1 7:40:00,2017/11/1 7:50:00,0
F1070,汽车北站,431416.338,2889570.369,2017/11/1 7:50:00,2017/11/1 8:00:00,0
F1070,汽车北站,431417.338,2889571.369,2017/11/1 8:00:00,2017/11/1 8:10:00,0
F1070,汽车北站,431418.338,2889572.369,2017/11/1 8:10:00,2017/11/1 8:20:00,0
F1070,汽车北站,431419.338,2889573.369,2017/11/1 8:20:00,2017/11/1 8:30:00,0
F1070,汽车北站,431420.338,2889574.369,2017/11/1 8:30:00,2017/11/1 8:40:00,0
F1070,汽车北站,431421.338,2889575.369,2017/11/1 8:40:00,2017/11/1 8:50:00,0
F1070,汽车北站,431422.338,2889576.369,2017/11/1 8:50:00,2017/11/1 9:00:00,0
F1070,汽车北站,431423.338,2889577.369,2017/11/1 9:00:00,2017/11/1 9:10:00,0
F1070,汽车北站,431424.338,2889578.369,2017/11/1 9:10:00,2017/11/1 9:20:00,0
F1070,汽车北站,431425.338,2889579.369,2017/11/1 9:20:00,2017/11/1 9:30:00,0
F1070,汽车北站,431426.338,2889580.369,2017/11/1 9:30:00,2017/11/1 9:40:00,0
F1070,汽车北站,431427.338,2889581.369,2017/11/1 9:40:00,2017/11/1 9:50:00,0
F1070,汽车北站,431428.338,2889582.369,2017/11/1 9:50:00,2017/11/1 10:00:00,0
F1070,汽车北站,431429.338,2889583.369,2017/11/1 10:00:00,2017/11/1 10:10:00,0
F1070,汽车北站,431430.338,2889584.369,2017/11/1 10:10:00,2017/11/1 10:20:00,0
F1070,汽车北站,431431.338,2889585.369,2017/11/1 10:20:00,2017/11/1 10:30:00,0
F1070,汽车北站,431432.338,2889586.369,2017/11/1 10:30:00,2017/11/1 10:40:00,0
F1070,汽车北站,431433.338,2889587.369,2017/11/1 10:40:00,2017/11/1 10:50:00,0
F1070,汽车北站,431434.338,2889588.369,2017/11/1 10:50:00,2017/11/1 11:00:00,0
F1070,汽车北站,431435.338,2889589.369,2017/11/1 11:00:00,2017/11/1 11:10:00,0
F1070,汽车北站,431436.338,2889590.369,2017/11/1 11:10:00,2017/11/1 11:20:00,0
F1070,汽车北站,431437.338,2889591.369,2017/11/1 11:20:00,2017/11/1 11:30:00,0
F1070,汽车北站,431438.338,2889592.369,2017/11/1 11:30:00,2017/11/1 11:40:00,0
F1070,汽车北站,431439.338,2889593.369,2017/11/1 11:40:00,2017/11/1 11:50:00,0
F1070,汽车北站,431440.338,2889594.369,2017/11/1 11:50:00,2017/11/1 12:00:00,0
F1070,汽车北站,431441.338,2889595.369,2017/11/1 12:00:00,2017/11/1 12:10:00,0
F1070,汽车北站,431442.338,2889596.369,2017/11/1 12:10:00,2017/11/1 12:20:00,0
F1070,汽车北站,431443.338,2889597.369,2017/11/1 12:20:00,2017/11/1 12:30:00,0
F1070,汽车北站,431444.338,2889598.369,2017/11/1 12:30:00,2017/11/1 12:40:00,0
F1070,汽车北站,431445.338,2889599.369,2017/11/1 12:40:00,2017/11/1 12:50:00,0
F1070,汽车北站,431446.338,2889600.369,2017/11/1 12:50:00,2017/11/1 13:00:00,0
F1070,汽车北站,431447.338,2889601.369,2017/11/1 13:00:00,2017/11/1 13:10:00,0
F1070,汽车北站,431448.338,2889602.369,2017/11/1 13:10:00,2017/11/1 13:20:00,0
F1070,汽车北站,431449.338,2889603.369,2017/11/1 13:20:00,2017/11/1 13:30:00,0
F1070,汽车北站,431450.338,2889604.369,2017/11/1 13:30:00,2017/11/1 13:40:00,0
F1070,汽车北站,431451.338,2889605.369,2017/11/1 13:40:00,2017/11/1 13:50:00,0
F1070,汽车北站,431452.338,2889606.369,2017/11/1 13:50:00,2017/11/1 14:00:00,0
F1070,汽车北站,431453.338,2889607.369,2017/11/1 14:00:00,2017/11/1 14:10:00,0
F1070,汽车北站,431454.338,2889608.369,2017/11/1 14:10:00,2017/11/1 14:20:00,0
F1070,汽车北站,431455.338,2889609.369,2017/11/1 14:20:00,2017/11/1 14:30:00,0
F1070,汽车北站,431456.338,2889610.369,2017/11/1 14:30:00,2017/11/1 14:40:00,0
F1070,汽车北站,431457.338,2889611.369,2017/11/1 14:40:00,2017/11/1 14:50:00,0
F1070,汽车北站,431458.338,2889612.369,2017/11/1 14:50:00,2017/11/1 15:00:00,0
F1070,汽车北站,431459.338,2889613.369,2017/11/1 15:00:00,2017/11/1 15:10:00,0
F1070,汽车北站,431460.338,2889614.369,2017/11/1 15:10:00,2017/11/1 15:20:00,0
F1070,汽车北站,431461.338,2889615.369,2017/11/1 15:20:00,2017/11/1 15:30:00,0
F1070,汽车北站,431462.338,2889616.369,2017/11/1 15:30:00,2017/11/1 15:40:00,0
F1070,汽车北站,431463.338,2889617.369,2017/11/1 15:40:00,2017/11/1 15:50:00,0
F1070,汽车北站,431464.338,2889618.369,2017/11/1 15:50:00,2017/11/1 16:00:00,0
F1070,汽车北站,431465.338,2889619.369,2017/11/1 16:00:00,2017/11/1 16:10:00,0
F1070,汽车北站,431466.338,2889620.369,2017/11/1 16:10:00,2017/11/1 16:20:00,0
F1070,汽车北站,431467.338,2889621.369,2017/11/1 16:20:00,2017/11/1 16:30:00,0
F1070,汽车北站,431468.338,2889622.369,2017/11/1 16:30:00,2017/11/1 16:40:00,0
F1070,汽车北站,431469.338,2889623.369,2017/11/1 16:40:00,2017/11/1 16:50:00,0
F1070,汽车北站,431470.338,2889624.369,2017/11/1 16:50:00,2017/11/1 17:00:00,0
F1070,汽车北站,431471.338,2889625.369,2017/11/1 17:00:00,2017/11/1 17:10:00,0
F1070,汽车北站,431472.338,2889626.369,2017/11/1 17:10:00,2017/11/1 17:20:00,0
F1070,汽车北站,431473.338,2889627.369,2017/11/1 17:20:00,2017/11/1 17:30:00,0
F1070,汽车北站,431474.338,2889628.369,2017/11/1 17:30:00,2017/11/1 17:40:00,0
F1070,汽车北站,431475.338,2889629.369,2017/11/1 17:40:00,2017/11/1 17:50:00,0
F1070,汽车北站,431476.338,2889630.369,2017/11/1 17:50:00,2017/11/1 18:00:00,0
F1070,汽车北站,431477.338,2889631.369,2017/11/1 18:00:00,2017/11/1 18:10:00,0
F1070,汽车北站,431478.338,2889632.369,2017/11/1 18:10:00,2017/11/1 18:20:00,0
F1070,汽车北站,431479.338,2889633.369,2017/11/1 18:20:00,2017/11/1 18:30:00,0
F1070,汽车北站,431480.338,2889634.369,2017/11/1 18:30:00,2017/11/1 18:40:00,0
F1070,汽车北站,431481.338,2889635.369,2017/11/1 18:40:00,2017/11/1 18:50:00,0
F1070,汽车北站,431482.338,2889636.369,2017/11/1 18:50:00,2017/11/1 19:00:00,0
F1070,汽车北站,431483.338,2889637.369,2017/11/1 19:00:00,2017/11/1 19:10:00,0
F1070,汽车北站,431484.338,2889638.369,2017/11/1 19:10:00,2017/11/1 19:20:00,0
F1070,汽车北站,431485.338,2889639.369,2017/11/1 19:20:00,2017/11/1 19:30:00,0
F1070,汽车北站,431486.338,2889640.369,2017/11/1 19:30:00,2017/11/1 19:40:00,0
F1070,汽车北站,431487.338,2889641.369,2017/11/1 19:40:00,2017/11/1 19:50:00,0
F1070,汽车北站,431488.338,2889642.369,2017/11/1 19:50:00,2017/11/1 20:00:00,0
F1070,汽车北站,431489.338,2889643.369,2017/11/1 20:00:00,2017/11/1 20:10:00,0
F1070,汽车北站,431490.338,2889644.369,2017/11/1 20:10:00,2017/11/1 20:20:00,0
F1070,汽车北站,431491.338,2889645.369,2017/11/1 20:20:00,2017/11/1 20:30:00,0
F1070,汽车北站,431492.338,2889646.369,2017/11/1 20:30:00,2017/11/1 20:40:00,0
F1070,汽车北站,431493.338,2889647.369,2017/11/1 20:40:00,2017/11/1 20:50:00,0
F1070,汽车北站,431494.338,2889648.369,2017/11/1 20:50:00,2017/11/1 21:00:00,0
F1070,汽车北站,431495.338,2889649.369,2017/11/1 21:00:00,2017/11/1 21:10:00,0
F1070,汽车北站,431496.338,2889650.369,2017/11/1 21:10:00,2017/11/1 21:20:00,0
F1070,汽车北站,431497.338,2889651.369,2017/11/1 21:20:00,2017/11/1 21:30:00,0
F1070,汽车北站,431498.338,2889652.369,2017/11/1 21:30:00,2017/11/1 21:40:00,0
F1070,汽车北站,431499.338,2889653.369,2017/11/1 21:40:00,2017/11/1 21:50:00,0
F1070,汽车北站,431500.338,2889654.369,2017/11/1 21:50:00,2017/11/1 22:00:00,0
F1070,汽车北站,431501.338,2889655.369,2017/11/1 22:00:00,2017/11/1 22:10:00,0
F1070,汽车北站,431502.338,2889656.369,2017/11/1 22:10:00,2017/11/1 22:20:00,0
F1070,汽车北站,431503.338,2889657.369,2017/11/1 22:20:00,2017/11/1 22:30:00,0
F1070,汽车北站,431504.338,2889658.369,2017/11/1 22:30:00,2017/11/1 22:40:00,0
F1070,汽车北站,431505.338,2889659.369,2017/11/1 22:40:00,2017/11/1 22:50:00,0
F1070,汽车北站,431506.338,2889660.369,2017/11/1 22:50:00,2017/11/1 23:00:00,0
F1070,汽车北站,431507.338,2889661.369,2017/11/1 23:00:00,2017/11/1 23:10:00,0
F1070,汽车北站,431508.338,2889662.369,2017/11/1 23:10:00,2017/11/1 23:20:00,0
F1070,汽车北站,431509.338,2889663.369,2017/11/1 23:20:00,2017/11/1 23:30:00,0
F1070,汽车北站,431510.338,2889664.369,2017/11/1 23:30:00,2017/11/1 23:40:00,0
F1070,汽车北站,431511.338,2889665.369,2017/11/1 23:40:00,2017/11/1 23:50:00,0
F1070,汽车北站,431512.338,2889666.369,2017/11/1 23:50:00,2017/11/2 0:00:00,0
F1070,汽车北站,431513.338,2889667.369,2017/11/2 0:00:00,2017/11/2 0:10:00,0
F1070,汽车北站,431514.338,2889668.369,2017/11/2 0:10:00,2017/11/2 0:20:00,0
F1070,汽车北站,431515.338,2889669.369,2017/11/2 0:20:00,2017/11/2 0:30:00,0
F1070,汽车北站,431516.338,2889670.369,2017/11/2 0:30:00,2017/11/2 0:40:00,0
F1070,汽车北站,431517.338,2889671.369,2017/11/2 0:40:00,2017/11/2 0:50:00,0
F1070,汽车北站,431518.338,2889672.369,2017/11/2 0:50:00,2017/11/2 1:00:00,0
F1070,汽车北站,431519.338,2889673.369,2017/11/2 1:00:00,2017/11/2 1:10:00,0
F1070,汽车北站,431520.338,2889674.369,2017/11/2 1:10:00,2017/11/2 1:20:00,0
F1070,汽车北站,431521.338,2889675.369,2017/11/2 1:20:00,2017/11/2 1:30:00,0
F1070,汽车北站,431522.338,2889676.369,2017/11/2 1:30:00,2017/11/2 1:40:00,0
F1070,汽车北站,431523.338,2889677.369,2017/11/2 1:40:00,2017/11/2 1:50:00,0
F1070,汽车北站,431524.338,2889678.369,2017/11/2 1:50:00,2017/11/2 2:00:00,0
F1070,汽车北站,431525.338,2889679.369,2017/11/2 2:00:00,2017/11/2 2:10:00,0
F1070,汽车北站,431526.338,2889680.369,2017/11/2 2:10:00,2017/11/2 2:20:00,0
F1070,汽车北站,431527.338,2889681.369,2017/11/2 2:20:00,2017/11/2 2:30:00,0
F1070,汽车北站,431528.338,2889682.369,2017/11/2 2:30:00,2017/11/2 2:40:00,0
F1070,汽车北站,431529.338,2889683.369,2017/11/2 2:40:00,2017/11/2 2:50:00,0
F1070,汽车北站,431530.338,2889684.369,2017/11/2 2:50:00,2017/11/2 3:00:00,0
F1070,汽车北站,431531.338,2889685.369,2017/11/2 3:00:00,2017/11/2 3:10:00,0
F1070,汽车北站,431532.338,2889686.369,2017/11/2 3:10:00,2017/11/2 3:20:00,0
F1070,汽车北站,431533.338,2889687.369,2017/11/2 3:20:00,2017/11/2 3:30:00,0
F1070,汽车北站,431534.338,2889688.369,2017/11/2 3:30:00,2017/11/2 3:40:00,0
F1070,汽车北站,431535.338,2889689.369,2017/11/2 3:40:00,2017/11/2 3:50:00,0
